ID,Costo,Descuento,Peso,Tiempo_Exacto
1246,258,58,2579,1
1247,271,14,2514,1
1248,197,29,2915,1
1249,217,27,2999,1
1250,247,9,2414,1
1251,192,46,3599,1
1252,254,6,3496,1
1253,226,65,3840,1
1254,197,48,2481,1
1255,203,12,2779,1
1256,196,16,3722,1
1257,180,33,1217,1
1258,219,54,3145,1
1259,266,15,3425,1
1260,144,20,1082,1
1261,197,12,3400,1
1262,258,4,3686,1
1263,187,63,2481,1
1264,184,9,3332,1
1265,142,63,1615,1
1266,283,50,2848,1
1267,221,13,3097,1
1268,233,44,2010,1
1269,129,58,1463,1
1270,154,43,1542,1
1271,158,63,1387,1
1272,236,9,3715,1
1273,257,52,2170,1
1274,160,50,1511,1
1275,255,62,3198,1
1276,210,22,3124,1
1277,169,37,1290,1
1278,275,1,2597,1
1279,185,47,2467,1
1280,213,54,2809,1
1281,179,57,1582,1
1282,110,7,1235,1
1283,216,41,2042,1
1284,267,37,2716,1
1285,214,1,3709,1
1286,196,38,2211,1
1287,192,8,3127,1
1288,191,4,2724,1
1289,222,57,2714,1
1290,141,10,1751,1
1291,242,1,2808,1
1292,212,13,2733,1
1293,133,21,1648,1
1294,254,35,2508,1
1295,190,2,2125,1
1296,185,25,2503,1
1297,191,54,3890,1
1298,158,15,1030,1
1299,171,49,1333,1
1300,160,32,1085,1
1301,235,21,3088,1
1302,247,55,2361,1
1303,152,65,1706,1
1304,138,15,1080,1
1305,270,43,2971,1
1306,193,8,2952,1
1307,252,1,2336,1
1308,203,51,3976,1
1309,141,64,1677,1
1310,197,20,3617,1
1311,142,54,1332,1
1312,161,25,1048,1
1313,139,23,1283,1
1314,186,17,3896,1
1315,190,52,2611,1
1316,186,23,3981,1
1317,181,29,2164,1
1318,111,8,1145,1
1319,159,62,1124,1
1320,205,44,2291,1
1321,134,12,1775,1
1322,191,4,3947,1
1323,141,28,1624,1
1324,225,31,3454,1
1325,171,24,1300,1
1326,286,37,2938,1
1327,255,1,2713,1
1328,113,25,1538,1
1329,201,65,2488,1
1330,184,49,2823,1
1331,199,18,3346,1
1332,255,29,2267,1
1333,269,60,3456,1
1334,260,23,3065,1
1335,198,44,2848,1
1336,256,10,3128,1
1337,140,27,1184,1
1338,165,7,1627,1
1339,144,1,1274,1
1340,240,53,2980,1
1341,183,15,3632,1
1342,201,4,3757,1
1343,216,6,3255,1
1344,218,25,2682,1
1345,147,2,1307,1
1346,264,1,3947,1
1347,145,43,1651,1
1348,264,30,2751,1
1349,253,43,2589,1
1350,257,5,3986,1
1351,202,59,2563,1
1352,245,12,2225,1
1353,162,47,1540,1
1354,158,39,1512,1
1355,182,40,3536,1
1356,218,4,3534,1
1357,201,41,3563,1
1358,184,38,2232,1
1359,241,61,3812,1
1360,263,59,3238,1
1361,230,36,3381,1
1362,240,28,2356,1
1363,233,43,3856,1
1364,237,22,2912,1
1365,144,59,1178,1
1366,167,1,1252,1
1367,138,64,1708,1
1368,165,51,1429,1
1369,247,19,3838,1
1370,152,7,1674,1
1371,199,24,3473,1
1372,268,6,2206,1
1373,150,30,1782,1
1374,190,47,3644,1
1375,153,36,1171,1
1376,185,27,3410,1
1377,274,58,2098,1
1378,258,11,2252,1
1379,110,54,1155,1
1380,240,21,3559,1
1381,118,6,1726,1
1382,243,38,3850,1
1383,225,44,2057,1
1384,238,49,3179,1
1385,127,16,1955,1
1386,166,45,1665,1
1387,180,29,1414,1
1388,161,59,1941,1
1389,230,43,2994,1
1390,167,51,1573,1
1391,186,16,2693,1
1392,150,9,1620,1
1393,253,37,2955,1
1394,239,59,2897,1
1395,294,57,1265,1
1396,158,45,1758,1
1397,135,20,1266,1
1398,238,28,1040,1
1399,213,17,1656,1
1400,165,18,1918,1
1401,247,16,2362,1
1402,152,32,1158,1
1403,199,24,3443,1
1404,268,41,3716,1
1405,150,51,1491,1
1406,190,24,3446,1
1407,153,7,1130,1
1408,185,13,2080,1
1409,274,54,2905,1
1410,258,5,3512,1
1411,110,55,1281,1
1412,240,26,2683,1
1413,118,2,1744,1
1414,243,14,3693,1
1415,225,55,2052,1
1416,238,57,3537,1
1417,127,5,1205,1
1418,166,45,1791,1
1419,180,6,1228,1
1420,161,55,1457,1
1421,230,39,3989,1
1422,167,53,1564,1
1423,186,25,3851,1
1424,150,32,1689,1
1425,253,11,3825,1
1426,239,15,2471,1
1427,294,52,1667,1
1428,158,4,1595,1
1429,135,26,1585,1
1430,238,9,1724,1
1431,265,3,1904,1
1432,180,35,1725,1
1433,229,43,1793,1
1434,176,51,1297,1
1435,172,60,1840,1
1436,100,3,1440,1
1437,142,6,1459,1
1438,153,2,1095,1
1439,160,56,1408,1
1440,217,16,3444,1
1441,273,41,3464,1
1442,133,17,1187,1
1443,155,54,1885,1
1444,184,2,3798,1
1445,230,43,3609,1
1446,254,53,3538,1
1447,108,46,1882,1
1448,154,52,1367,1
1449,177,1,1916,1
1450,162,65,1184,1
1451,285,27,2249,1
1452,257,6,3620,1
1453,143,48,1922,1
1454,223,29,2980,1
1455,230,27,3840,1
1456,241,58,2874,1
1457,156,44,1424,1
1458,232,27,3436,1
1459,231,55,3952,1
1460,183,52,2078,1
1461,240,50,2430,1
1462,218,27,2824,1
1463,248,37,3830,1
1464,170,33,1980,1
1465,226,11,3708,1
1466,232,11,2624,1
1467,192,15,3460,1
1468,250,11,3464,1
1469,224,48,2298,1
1470,167,42,1363,1
1471,123,11,1383,1
1472,243,4,3681,1
1473,233,45,2732,1
1474,201,36,3340,1
1475,230,18,2832,1
1476,271,59,2996,1
1477,159,13,1445,1
1478,249,55,3375,1
1479,137,17,1212,1
1480,225,8,3813,1
1481,226,28,2211,1
1482,174,49,1141,1
1483,264,27,3118,1
1484,151,6,1930,1
1485,180,65,1321,1
1486,149,37,1080,1
1487,209,20,3181,1
1488,219,10,2385,1
1489,164,28,1880,1
1490,268,3,3040,1
1491,204,35,2513,1
1492,226,23,2626,1
1493,105,1,1101,1
1494,153,10,1183,1
1495,192,5,2339,1
1496,199,28,2607,1
1497,156,39,1204,1
1498,180,53,1853,1
1499,162,62,1650,1
1500,284,9,3912,1
1501,271,33,3269,1
1502,269,38,2195,1
1503,135,11,1740,1
1504,200,2,2075,1
1505,206,23,2016,1
1506,229,32,3518,1
1507,267,48,3393,1
1508,135,64,1471,1
1509,259,15,2381,1
1510,223,30,3622,1
1511,245,20,2534,1
1512,207,20,2637,1
1513,171,62,1304,1
1514,130,27,1891,1
1515,241,60,3922,1
1516,261,33,3678,1
1517,182,34,3595,1
1518,270,29,3768,1
1519,157,26,1969,1
1520,172,33,1989,1
1521,205,2,2910,1
1522,268,7,3622,1
1523,156,1,1517,1
1524,202,4,3372,1
1525,249,43,3277,1
1526,141,41,1801,1
1527,230,28,3646,1
1528,229,59,3844,1
1529,146,25,1606,1
1530,162,26,1659,1
1531,241,39,3743,1
1532,271,14,2163,1
1533,166,31,1117,1
1534,171,28,1075,1
1535,169,20,1021,1
1536,137,47,1611,1
1537,211,56,3654,1
1538,171,2,1114,1
1539,142,2,1461,1
1540,184,10,2972,1
1541,111,28,1216,1
1542,278,34,3416,1
1543,160,41,1495,1
1544,212,56,3976,1
1545,175,59,1051,1
1546,251,46,2632,1
1547,205,15,3231,1
1548,163,54,1536,1
1549,272,27,2030,1
1550,134,37,1818,1
1551,259,63,2583,1
1552,246,45,3945,1
1553,211,44,3099,1
1554,190,6,3595,1
1555,233,44,2648,1
1556,199,20,2553,1
1557,191,52,2028,1
1558,148,30,1731,1
1559,177,41,1772,1
1560,171,1,1629,1
1561,237,57,3761,1
1562,265,47,3307,1
1563,136,19,1387,1
1564,145,25,1851,1
1565,238,3,2241,1
1566,210,14,3666,1
1567,159,38,1277,1
1568,232,26,3300,1
1569,174,4,1337,1
1570,129,35,1458,1
1571,201,7,2299,1
1572,151,12,1145,1
1573,252,12,2800,1
1574,156,58,1218,1
1575,215,13,3899,1
1576,153,13,1402,1
1577,261,25,3494,1
1578,263,61,2606,1
1579,153,35,1082,1
1580,137,28,1815,1
1581,270,31,3737,1
1582,167,62,1884,1
1583,143,64,1630,1
1584,214,31,2033,1
1585,182,14,3751,1
1586,234,4,2701,1
1587,181,59,2239,1
1588,162,34,1558,1
1589,185,31,3565,1
1590,199,4,3351,1
1591,272,49,2803,1
1592,252,11,3036,1
1593,156,2,1127,1
1594,173,63,1220,1
1595,148,38,1322,1
1596,158,27,1207,1
1597,261,62,3352,1
1598,105,54,1707,1
1599,193,57,3364,1
1600,198,49,2446,1
1601,213,42,3121,1
1602,244,59,3073,1
1603,241,61,2806,1
1604,278,4,3909,1
1605,145,1,1126,1
1606,140,58,1175,1
1607,209,37,3026,1
1608,233,35,2204,1
1609,227,52,3336,1
1610,258,22,3713,1
1611,259,38,3720,1
1612,153,44,1585,1
1613,181,22,3575,1
1614,143,39,1345,1
1615,111,3,1711,1
1616,198,51,2820,1
1617,121,63,1611,1
1618,204,48,2792,1
1619,203,36,3912,1
1620,167,10,1616,1
1621,270,64,2406,1
1622,260,58,2018,1
1623,180,21,1047,1
1624,157,12,1694,1
1625,156,45,1602,1
1626,236,62,2280,1
1627,240,57,2708,1
1628,104,46,1438,1
1629,140,49,1820,1
1630,150,29,1354,1
1631,286,65,3362,1
1632,224,49,3282,1
1633,204,49,3225,1
1634,266,12,2056,1
1635,241,8,3878,1
1636,278,36,2330,1
1637,145,49,1177,1
1638,140,5,1130,1
1639,209,52,2740,1
1640,233,1,2744,1
1641,227,21,2351,1
1642,258,24,2878,1
1643,259,45,3335,1
1644,153,39,1328,1
1645,181,45,3786,1
1646,143,12,1326,1
1647,111,42,1587,1
1648,198,64,3787,1
1649,121,10,1701,1
1650,204,27,2772,1
1651,203,20,3098,1
1652,167,57,1782,1
1653,270,20,3185,1
1654,260,63,2715,1
1655,180,56,1684,1
1656,157,62,1366,1
1657,156,65,1308,1
1658,236,44,3808,1
1659,240,47,2174,1
1660,104,52,1083,1
1661,140,4,1467,1
1662,150,4,1910,1
1663,286,7,2338,1
1664,224,48,2627,1
1665,204,45,2513,1
1666,266,40,2304,1
1667,268,59,2083,1
1668,267,20,3132,1
1669,223,46,3938,1
1670,164,52,1644,1
1671,209,10,3370,1
1672,192,19,3183,1
1673,260,52,2874,1
1674,137,3,1037,1
1675,267,18,2435,1
1676,111,54,1712,1
1677,240,2,3729,1
1678,234,40,3340,1
1679,190,37,2563,1
1680,265,24,2415,1
1681,189,37,3492,1
1682,121,25,1124,1
1683,101,37,1344,1
1684,250,9,2752,1
1685,247,64,2198,1
1686,162,41,1104,1
1687,219,56,3608,1
1688,258,48,3717,1
1689,221,59,3444,1
1690,137,41,1176,1
1691,174,51,1430,1
1692,189,6,3671,1
1693,212,2,3830,1
1694,183,57,3966,1
1695,180,26,1715,1
1696,150,61,1091,1
1697,246,52,2440,1
1698,263,44,3802,1
1699,204,29,2941,1
1700,223,20,3955,1
1701,193,60,2581,1
1702,138,41,1914,1
1703,188,50,3992,1
1704,201,46,3641,1
1705,245,16,2577,1
1706,262,54,3150,1
1707,147,33,1886,1
1708,254,35,2965,1
1709,213,37,2184,1
1710,152,32,1665,1
1711,227,54,3972,1
1712,206,46,2944,1
1713,242,5,2307,1
1714,200,45,2486,1
1715,142,26,1683,1
1716,275,61,2123,1
1717,222,26,3137,1
1718,101,56,1184,1
1719,178,22,1907,1
1720,243,31,3943,1
1721,177,63,1058,1
1722,270,31,2377,1
1723,186,11,3676,1
1724,133,29,1094,1
1725,263,8,2599,1
1726,248,4,2207,1
1727,150,63,1807,1
1728,203,46,3640,1
1729,249,1,2905,1
1730,238,54,2860,1
1731,181,32,3893,1
1732,138,56,1440,1
1733,139,47,1323,1
1734,192,31,2621,1
1735,241,40,3484,1
1736,188,33,3335,1
1737,278,12,2112,1
1738,144,35,1072,1
1739,208,33,2170,1
1740,208,41,2036,1
1741,210,11,2655,1
1742,237,47,3625,1
1743,192,25,2443,1
1744,143,17,1955,1
1745,234,60,2596,1
1746,147,17,1057,1
1747,226,18,2582,1
1748,263,62,2267,1
1749,147,11,1434,1
1750,174,18,1072,1
1751,142,4,1583,1
1752,136,6,1900,1
1753,192,35,2258,1
1754,184,26,3336,1
1755,260,10,2756,1
1756,160,25,1977,1
1757,262,28,2940,1
1758,217,51,3144,1
1759,267,48,2622,1
1760,195,4,3108,1
1761,152,18,1537,1
1762,178,23,1695,1
1763,190,61,2077,1
1764,286,12,3817,1
1765,167,46,1023,1
1766,148,63,1279,1
1767,218,50,3990,1
1768,272,37,2226,1
1769,147,52,1570,1
1770,263,32,3723,1
1771,189,16,3564,1
1772,242,7,3127,1
1773,204,40,2181,1
1774,229,2,3963,1
1775,180,33,1444,1
1776,190,12,2947,1
1777,154,19,1842,1
1778,134,21,1955,1
1779,206,62,3558,1
1780,169,61,1511,1
1781,237,6,2965,1
1782,146,52,1459,1
1783,187,11,2936,1
1784,206,53,2182,1
1785,208,10,2419,1
1786,149,40,1102,1
1787,148,56,1511,1
1788,135,54,1011,1
1789,242,35,3556,1
1790,231,41,2992,1
1791,205,61,2018,1
1792,137,37,1447,1
1793,202,20,3655,1
1794,163,59,1005,1
1795,128,17,1824,1
1796,165,35,1459,1
1797,242,34,3966,1
1798,229,9,3667,1
1799,191,56,3538,1
1800,231,49,2341,1
1801,183,51,3863,1
1802,195,5,3251,1
1803,249,26,2029,1
1804,151,16,1020,1
1805,140,60,1950,1
1806,151,6,1114,1
1807,109,12,1715,1
1808,180,35,1204,1
1809,151,28,1148,1
1810,188,62,2106,1
1811,274,11,3013,1
1812,187,50,2598,1
1813,185,4,2212,1
1814,187,54,3290,1
1815,260,43,2143,1
1816,191,5,2007,1
1817,203,15,2281,1
1818,144,63,1881,1
1819,281,5,3357,1
1820,169,48,1279,1
1821,201,18,3461,1
1822,226,12,2708,1
1823,176,7,1767,1
1824,228,57,2243,1
1825,260,14,2071,1
1826,268,17,3085,1
1827,188,6,3361,1
1828,213,11,2037,1
1829,259,44,2132,1
1830,257,46,2848,1
1831,163,38,1146,1
1832,211,12,3296,1
1833,166,58,1319,1
1834,245,26,2072,1
1835,234,44,2548,1
1836,234,27,3393,1
1837,180,52,1838,1
1838,217,37,2128,1
1839,253,31,3632,1
1840,188,3,3837,1
1841,274,24,3829,1
1842,136,54,1056,1
1843,143,17,1422,1
1844,267,57,3257,1
1845,198,20,2266,1
1846,201,17,2059,1
1847,241,31,2724,1
1848,269,2,2136,1
1849,123,60,1653,1
1850,178,32,1329,1
1851,203,18,3127,1
1852,169,15,1107,1
1853,190,27,2739,1
1854,190,7,2400,1
1855,238,38,3556,1
1856,247,61,2206,1
1857,190,35,3819,1
1858,168,5,1143,1
1859,190,51,2380,1
1860,170,14,1396,1
1861,226,9,2182,1
1862,256,50,3837,1
1863,104,30,1870,1
1864,192,29,3347,1
1865,213,57,3599,1
1866,259,54,2244,1
1867,257,15,3981,1
1868,163,52,1891,1
1869,211,55,3842,1
1870,166,45,1741,1
1871,245,47,3111,1
1872,234,43,3822,1
1873,234,2,2008,1
1874,180,52,1727,1
1875,217,12,2217,1
1876,253,58,3096,1
1877,188,49,3221,1
1878,274,60,2053,1
1879,136,61,1509,1
1880,143,63,1246,1
1881,267,55,2923,1
1882,198,49,3573,1
1883,201,37,3402,1
1884,241,41,3015,1
1885,269,51,3415,1
1886,123,30,1068,1
1887,178,35,1183,1
1888,203,58,3231,1
1889,169,4,1665,1
1890,190,38,2018,1
1891,190,51,2391,1
1892,238,44,3860,1
1893,247,57,2377,1
1894,190,34,3935,1
1895,168,15,1862,1
1896,190,59,2108,1
1897,170,61,1240,1
1898,226,41,2964,1
1899,256,41,2758,1
1900,104,12,1064,1
1901,192,39,2943,1
1902,195,38,1338,1
1903,271,51,1134,1
1904,296,29,1648,1
1905,277,32,1055,1
1906,140,32,1819,1
1907,148,23,1814,1
1908,238,1,2644,1
1909,220,37,2294,1
1910,224,29,3623,1
1911,162,31,1170,1
1912,202,1,3602,1
1913,226,5,3914,1
1914,246,60,2086,1
1915,223,51,3687,1
1916,156,19,1311,1
1917,189,38,3708,1
1918,242,2,3564,1
1919,207,49,3736,1
1920,161,24,1920,1
1921,232,21,3128,1
1922,194,10,2554,1
1923,161,59,1037,1
1924,269,23,3652,1
1925,219,41,3932,1
1926,161,59,1859,1
1927,264,33,3561,1
1928,151,20,1395,1
1929,177,31,2000,1
1930,193,13,2882,1
1931,212,16,2494,1
1932,210,7,3405,1
1933,164,43,1976,1
1934,219,2,3402,1
1935,216,27,3740,1
1936,174,54,1091,1
1937,199,46,2728,1
1938,181,45,2486,1
1939,220,22,2818,1
1940,215,47,3678,1
1941,248,56,2840,1
1942,183,49,2414,1
1943,194,26,3818,1
1944,224,31,2084,1
1945,184,52,3128,1
1946,160,28,1276,1
1947,182,8,3580,1
1948,116,22,1430,1
1949,170,39,1868,1
1950,201,54,2158,1
1951,148,29,1809,1
1952,165,27,1905,1
1953,135,20,1772,1
1954,263,41,3955,1
1955,228,20,3382,1
1956,275,51,3569,1
1957,224,27,3400,1
1958,202,1,3738,1
1959,163,11,1926,1
1960,268,64,2386,1
1961,207,62,3277,1
1962,117,36,1210,1
1963,165,57,1881,1
1964,181,65,3234,1
1965,212,13,3676,1
1966,226,26,2299,1
1967,195,43,2849,1
1968,263,13,2779,1
1969,136,16,1131,1
1970,163,49,1034,1
1971,144,49,1202,1
1972,240,62,3478,1
1973,243,19,2829,1
1974,201,19,2696,1
1975,242,58,3411,1
1976,187,56,3774,1
1977,162,53,1194,1
1978,147,16,1563,1
1979,268,39,2822,1
1980,237,57,3952,1
1981,157,29,1115,1
1982,176,12,1750,1
1983,134,36,1191,1
1984,234,52,3543,1
1985,154,57,1096,1
1986,209,64,2016,1
1987,138,38,1803,1
1988,151,22,1024,1
1989,252,44,2676,1
1990,155,6,1490,1
1991,139,17,1137,1
1992,258,37,2289,1
1993,172,1,1182,1
1994,239,28,2741,1
1995,165,1,1417,1
1996,177,47,1536,1
1997,187,17,3513,1
1998,172,41,1006,1
1999,168,35,1434,1
2000,249,31,3489,1
2001,135,11,1322,1
2002,134,13,1985,1
2003,269,35,3524,1
2004,210,37,3236,1
2005,285,63,3151,1
2006,244,15,2857,1
2007,209,24,2748,1
2008,154,52,1432,1
2009,134,54,1932,1
2010,168,23,1347,1
2011,264,57,3753,1
2012,276,36,2843,1
2013,195,23,3499,1
2014,174,47,1909,1
2015,241,50,3074,1
2016,166,20,1267,1
2017,190,37,3315,1
2018,231,12,2123,1
2019,206,3,3755,1
2020,212,50,2073,1
2021,212,2,2456,1
2022,246,64,2271,1
2023,264,12,2203,1
2024,208,37,2537,1
2025,210,7,2878,1
2026,183,44,2896,1
2027,265,41,3498,1
2028,187,20,2374,1
2029,183,12,3090,1
2030,176,58,1730,1
2031,266,5,3718,1
2032,143,22,1249,1
2033,195,32,3719,1
2034,264,32,2754,1
2035,243,42,3421,1
2036,142,55,1758,1
2037,172,23,1019,1
2038,280,2,3366,1
2039,254,37,2469,1
2040,202,34,3885,1
2041,110,21,1011,1
2042,162,30,1158,1
2043,183,21,2585,1
2044,260,31,2805,1
2045,109,27,1581,1
2046,273,12,2151,1
2047,262,10,3164,1
2048,239,59,2181,1
2049,185,49,3864,1
2050,248,59,2868,1
2051,180,52,1122,1
2052,221,43,3561,1
2053,162,28,1948,1
2054,162,49,1671,1
2055,145,28,1313,1
2056,228,38,3631,1
2057,196,47,2447,1
2058,254,56,3266,1
2059,215,46,3942,1
2060,265,33,2734,1
2061,173,60,1582,1
2062,233,64,3146,1
2063,213,27,2034,1
2064,124,22,1714,1
2065,156,7,1492,1
2066,265,11,2194,1
2067,139,6,1269,1
2068,225,46,2690,1
2069,178,36,1179,1
2070,190,32,2064,1
2071,272,63,2455,1
2072,153,51,1841,1
2073,235,7,2991,1
2074,214,33,2562,1
2075,175,2,1072,1
2076,176,63,1420,1
2077,172,23,1875,1
2078,195,35,1852,1
2079,271,10,1679,1
2080,228,42,3145,1
2081,196,52,2129,1
2082,254,60,3590,1
2083,215,34,2713,1
2084,265,46,3997,1
2085,173,40,1723,1
2086,233,56,3925,1
2087,213,27,2938,1
2088,124,50,1592,1
2089,156,26,1769,1
2090,265,61,3010,1
2091,139,4,1546,1
2092,225,56,3384,1
2093,178,52,1824,1
2094,190,4,3062,1
2095,272,59,2182,1
2096,153,37,1740,1
2097,235,56,2175,1
2098,214,52,3403,1
2099,175,40,1460,1
2100,176,29,1953,1
2101,172,30,1294,1
2102,195,29,1039,1
2103,164,61,1473,1
2104,231,33,2755,1
2105,248,9,3873,1
2106,237,60,3427,1
2107,111,8,1620,1
2108,106,46,1275,1
2109,139,29,1365,1
2110,149,58,1657,1
2111,180,24,1513,1
2112,212,65,3776,1
2113,183,5,3716,1
2114,164,20,1555,1
2115,143,28,1197,1
2116,162,5,1202,1
2117,202,56,3098,1
2118,135,2,1150,1
2119,232,58,2054,1
2120,218,19,3770,1
2121,177,14,1735,1
2122,168,63,1474,1
2123,181,45,3448,1
2124,238,29,3728,1
2125,250,36,2717,1
2126,152,25,1848,1
2127,242,35,3215,1
2128,236,2,3949,1
2129,238,22,3950,1
2130,165,21,1727,1
2131,271,50,3448,1
2132,109,18,1661,1
2133,235,22,3695,1
2134,186,49,2356,1
2135,202,40,2327,1
2136,188,3,3075,1
2137,224,52,3824,1
2138,239,3,3734,1
2139,140,20,1832,1
2140,272,39,2518,1
2141,160,65,1228,1
2142,261,14,3479,1
2143,199,62,3259,1
2144,154,56,1300,1
2145,237,55,2451,1
2146,181,44,2070,1
2147,133,10,1686,1
2148,150,47,1511,1
2149,152,62,1325,1
2150,142,30,1464,1
2151,214,57,2078,1
2152,155,40,1024,1
2153,191,11,3985,1
2154,133,39,1106,1
2155,211,22,2942,1
2156,212,28,2422,1
2157,150,9,1158,1
2158,208,41,3977,1
2159,157,15,1724,1
2160,228,60,2715,1
2161,254,44,3786,1
2162,270,65,3599,1
2163,195,30,3462,1
2164,193,33,2173,1
2165,165,48,1240,1
2166,177,38,1099,1
2167,244,46,2844,1
2168,151,26,1793,1
2169,164,2,1104,1
2170,165,37,1228,1
2171,256,55,2247,1
2172,150,5,1263,1
2173,255,27,3484,1
2174,268,23,2996,1
2175,166,1,1366,1
2176,230,49,3477,1
2177,163,45,1395,1
2178,139,64,1415,1
2179,161,10,1978,1
2180,181,6,3003,1
2181,242,47,3489,1
2182,151,24,1139,1
2183,167,50,1068,1
2184,257,25,2334,1
2185,204,35,2090,1
2186,219,1,2027,1
2187,202,28,3707,1
2188,155,41,1367,1
2189,183,6,3364,1
2190,184,19,2625,1
2191,230,38,2890,1
2192,139,41,1511,1
2193,252,7,2477,1
2194,272,40,3766,1
2195,134,20,1391,1
2196,169,13,1934,1
2197,214,49,3416,1
2198,163,65,1614,1
2199,150,48,1193,1
2200,216,33,3202,1
2201,116,56,1130,1
2202,144,33,1811,1
2203,266,19,2508,1
2204,154,62,1616,1
2205,255,18,3644,1
2206,229,13,2322,1
2207,111,16,1882,1
2208,160,32,1718,1
2209,184,31,3191,1
2210,218,45,3234,1
2211,137,52,1012,1
2212,204,14,3829,1
2213,105,57,1784,1
2214,256,63,3046,1
2215,182,54,3261,1
2216,260,17,2666,1
2217,166,62,1944,1
2218,160,43,1479,1
2219,243,13,2850,1
2220,240,62,2400,1
2221,229,35,3239,1
2222,164,2,1304,1
2223,234,37,2111,1
2224,97,15,1836,1
2225,258,12,2017,1
2226,147,52,1934,1
2227,180,14,1686,1
2228,212,11,2073,1
2229,198,19,2373,1
2230,239,63,2154,1
2231,158,46,1374,1
2232,218,57,3311,1
2233,156,20,1523,1
2234,235,52,3447,1
2235,168,4,1363,1
2236,178,36,1297,1
2237,275,26,2449,1
2238,139,45,1192,1
2239,236,13,2171,1
2240,155,37,1780,1
2241,168,11,1008,1
2242,151,42,1367,1
2243,113,56,1154,1
2244,133,50,1861,1
2245,163,57,1613,1
2246,206,59,3278,1
2247,177,23,1929,1
2248,206,3,2261,1
2249,189,13,3492,1
2250,270,39,3690,1
2251,238,33,2013,1
2252,143,46,1387,1
2253,173,53,1251,1
2254,134,38,1169,1
2255,176,34,1283,1
2256,160,38,1961,1
2257,230,22,3546,1
2258,178,5,1012,1
2259,256,18,2699,1
2260,256,11,3030,1
2261,208,52,2900,1
2262,119,40,1233,1
2263,114,26,1825,1
2264,225,1,2864,1
2265,155,48,1972,1
2266,223,51,3895,1
2267,194,6,2736,1
2268,281,40,3381,1
2269,132,10,1343,1
2270,229,53,3423,1
2271,251,10,3517,1
2272,113,60,1200,1
2273,234,52,2615,1
2274,181,58,3719,1
2275,157,32,1497,1
2276,155,49,1203,1
2277,209,62,2935,1
2278,264,39,2213,1
2279,268,47,2479,1
2280,224,64,2705,1
2281,223,24,3271,1
2282,191,42,2374,1
2283,184,47,3081,1
2284,174,32,1921,1
2285,134,12,1371,1
2286,135,25,1009,1
2287,234,61,3084,1
2288,215,5,3432,1
2289,187,10,3549,1
2290,238,50,3438,1
2291,273,26,3223,1
2292,192,46,3709,1
2293,268,5,3446,1
2294,225,12,2721,1
2295,155,54,1408,1
2296,223,56,3158,1
2297,194,32,3003,1
2298,281,56,3709,1
2299,132,28,1715,1
2300,229,20,2891,1
2301,251,33,2502,1
2302,113,52,1741,1
2303,234,58,2448,1
2304,181,52,3236,1
2305,157,58,1654,1
2306,155,20,1830,1
2307,209,33,2603,1
2308,264,13,3015,1
2309,268,30,2867,1
2310,224,26,3247,1
2311,223,21,2943,1
2312,191,17,2235,1
2313,184,27,3967,1
2314,174,14,1651,1
2315,134,42,1054,1
2316,135,22,1195,1
2317,234,50,3914,1
2318,215,42,3715,1
2319,187,29,2863,1
2320,238,32,3274,1
2321,273,54,2611,1
2322,192,37,2197,1
2323,268,19,2893,1
2324,164,5,1408,1
2325,255,59,1514,1
2326,141,30,1130,1
2327,202,50,2587,1
2328,282,52,3009,1
2329,190,7,3175,1
2330,192,61,2256,1
2331,179,51,1041,1
2332,238,43,2200,1
2333,181,18,3696,1
2334,128,45,1707,1
2335,285,51,2063,1
2336,273,18,2415,1
2337,242,63,3144,1
2338,226,22,3593,1
2339,255,36,2093,1
2340,198,37,3025,1
2341,263,59,3978,1
2342,186,39,2197,1
2343,260,22,2935,1
2344,167,5,1169,1
2345,210,46,2344,1
2346,216,20,3549,1
2347,273,12,2154,1
2348,153,55,1414,1
2349,183,44,3809,1
2350,224,36,3499,1
2351,170,58,1651,1
2352,237,33,2605,1
2353,234,60,2443,1
2354,264,43,3439,1
2355,153,55,1273,1
2356,228,61,3583,1
2357,264,33,2021,1
2358,267,42,2332,1
2359,213,22,3248,1
2360,181,38,3258,1
2361,209,53,3169,1
2362,165,19,1111,1
2363,164,55,1293,1
2364,141,14,1114,1
2365,164,2,1701,1
2366,178,4,1778,1
2367,200,24,2078,1
2368,185,47,3974,1
2369,180,31,1078,1
2370,144,9,1526,1
2371,161,14,1194,1
2372,152,25,1222,1
2373,129,50,1111,1
2374,140,16,1969,1
2375,270,64,3312,1
2376,183,25,2023,1
2377,264,39,3719,1
2378,167,49,1973,1
2379,219,14,2447,1
2380,225,52,3189,1
2381,228,53,2021,1
2382,119,7,1021,1
2383,244,8,3154,1
2384,163,29,1349,1
2385,260,59,3951,1
2386,135,53,1073,1
2387,167,7,1939,1
2388,233,14,2522,1
2389,147,19,1940,1
2390,159,17,1686,1
2391,139,5,1674,1
2392,200,44,2651,1
2393,221,3,2546,1
2394,158,18,1036,1
2395,227,65,3984,1
2396,179,12,1125,1
2397,232,64,3131,1
2398,139,9,1177,1
2399,195,21,3869,1
2400,276,7,2437,1
2401,171,13,1101,1
2402,259,43,2685,1
2403,123,7,1596,1
2404,199,47,2208,1
2405,226,32,2912,1
2406,149,54,1506,1
2407,115,60,1122,1
2408,243,26,2719,1
2409,136,58,1479,1
